HW1D.a	HW2B.b	HW3B.a	HW4C.b	HW5D.b	HW6A.b	WW41B.a	WW42.a	WW45A.b	WW46D.a	WW47A.b	WW48B.a	LE100C.a	LE101A.a	LE102.a	LE4D51.a	LE4D53.a	LE4D56.b	WW37.b	WW38.b	WW39.a	WW40.b	WW43.b	WW44.a	HW4D12.B
Psmb4	992	871	1223	1029	1338	1380	1974	2024	1057	1267	1459	1355	2488	797	1442	2957	1605	2056	1881	1931	1262	1993	1763	1428	1335
RGD1305831_predicted	2808	2809	3713	3306	3864	3242	4963	4483	3026	3171	3126	2977	5961	1693	3047	6650	4163	4647	4241	3647	3297	4253	3896	3463	3896
RGD1311835	619	595	515	800	651	865	1620	1558	698	634	1106	738	1304	540	817	2097	1362	1595	1636	1286	1266	1524	1256	1171	1157
RGD1559716_predicted	228	221	168	269	275	366	399	383	194	195	298	148	312	136	183	779	471	489	237	214	172	203	207	285	471
Rpl13A	476	402	743	555	1073	886	1448	1303	804	1266	1554	1199	2434	785	1063	1823	1142	1604	1301	1611	931	1613	1144	1223	1184
Scn4b	12	8	9	14	8	15	31	29	11	7	14	16	25	6	13	38	19	39	12	16	12	18	17	16	12
Sdc1	1423	1230	730	1173	863	1335	1161	1318	496	534	1096	634	1530	706	1691	2663	1567	2045	1674	1280	1184	1554	1158	1144	1434
Sdha	1322	1255	964	1684	1562	1869	2346	2329	1148	1141	1981	1281	2458	935	1511	4125	2685	3006	2052	2006	1485	2172	1665	1768	2345
Slco1a1	951	1042	604	1052	798	1029	1227	992	588	503	1016	786	1412	582	836	2268	1135	1621	866	573	697	828	796	852	1548
Srxn1	57	65	59	102	91	82	336	410	258	258	203	233	199	63	97	277	166	169	253	230	164	195	169	182	190
Tiparp	152	202	165	1476	1048	1293	979	1463	1122	2200	1579	1996	315	109	170	644	324	380	761	1321	2059	1945	1421	1175	291
Tpm1	12	15	16	14	20	23	70	55	22	32	43	31	48	20	29	60	37	79	74	60	37	38	35	26	41
Ugt1a1	1531	2352	994	2823	1775	2319	3658	3652	1307	1416	2219	1786	2400	1183	2478	4063	3023	3002	2265	1148	2163	3123	2710	2394	3672
Zfp422	256	199	173	246	234	220	728	519	319	274	441	257	532	157	334	681	392	443	533	439	381	458	528	421	414
