HW1D.a	HW2B.b	HW3B.a	HW4C.b	HW5D.b	HW6A.b	WW41B.a	WW42.a	WW45A.b	WW46D.a	WW47A.b	WW48B.a	LE100C.a	LE101A.a	LE102.a	LE4D51.a	LE4D53.a	LE4D56.b	WW37.b	WW38.b	WW39.a	WW40.b	WW43.b	WW44.a	HW4D12.B
POS_A(128)	9917	8808	9754	9025	10230	12090	18979	23660	10064	12176	13729	14055	18225	5505	14951	11133	14264	21404	9121	10226	11050	12242	15881	12805	8835
POS_B(32)	3471	3418	3722	3191	3619	3903	5064	5953	3399	3312	3754	4073	5001	1551	4353	3583	4148	5692	2780	2835	3250	3393	4291	3604	2393
POS_C(8)	540	522	591	527	583	652	1005	1094	525	647	708	763	904	318	754	556	668	1068	437	566	617	651	859	637	483
POS_D(2)	203	215	239	204	210	270	342	362	241	255	305	296	301	116	263	232	289	366	174	206	208	183	262	218	180
POS_E(0.5)	28	28	25	30	39	38	46	67	22	38	26	41	57	17	59	46	50	74	25	30	23	35	56	40	20
POS_F(0.125)	38	28	30	30	28	32	121	145	58	72	77	45	54	17	60	47	93	78	99	65	65	85	88	67	42
NEG_A(0)	2	1	3	3	7	3	9	11	3	5	7	4	7	0	4	7	5	9	5	5	10	4	10	8	1
NEG_B(0)	1	2	4	5	1	2	9	7	1	2	2	0	3	0	2	17	8	11	4	4	2	6	2	6	3
NEG_C(0)	5	4	3	5	3	4	5	5	2	4	3	5	4	2	6	10	3	9	6	1	5	1	0	3	2
NEG_D(0)	5	2	7	2	8	6	6	8	2	10	8	4	3	2	3	12	1	6	5	1	4	10	11	5	6
NEG_E(0)	7	8	10	11	8	11	13	30	3	9	9	13	9	2	9	14	14	24	9	8	11	13	9	11	11
NEG_F(0)	1	2	2	2	4	2	6	10	3	8	9	5	4	3	2	11	3	13	2	4	5	3	4	6	3
NEG_G(0)	0	1	0	5	4	2	4	3	3	2	3	2	0	1	0	4	2	2	2	1	1	2	0	5	1
NEG_H(0)	0	3	0	3	3	2	3	11	1	5	9	8	2	3	7	6	4	10	0	6	4	1	5	3	1
Ahrr	10	1	1	7	6	5	41	51	14	20	29	8	20	1	8	15	13	13	38	29	20	28	21	25	5
Aldh3a1	4	6	6	216	52	75	5789	11341	2264	991	2292	2996	91	93	95	164	177	581	8241	5046	9268	9127	4235	3416	5
Bbs2	26	32	25	49	42	44	125	124	48	66	53	44	68	16	40	92	78	77	130	105	106	111	67	93	52
Ccbl1	182	171	136	194	253	224	1162	1189	437	467	657	546	315	127	309	409	395	415	1157	1230	866	947	1093	1019	370
Cmkor1	18	19	12	48	27	37	58	58	29	37	75	49	68	24	39	148	78	94	27	31	39	37	43	30	36
Col18a1	1299	1349	712	1664	1334	2199	2967	2621	1025	1026	1793	1035	2217	949	1681	4273	2425	3604	2202	1814	1973	2416	2061	2097	3128
Cyb5	18229	18836	18016	21995	21462	20154	30423	26443	15460	16840	18694	16554	30602	9996	15323	36637	34207	23507	34676	28590	24761	32806	22333	21761	24272
Cyp1a1	14	48	25	6987	5470	6580	109170	106384	34866	26594	46338	30920	644	423	452	845	33429	1151	141036	106336	91856	113059	91533	89522	46
Cyp1a2	30528	31902	16706	71538	53396	64692	315649	262354	104761	81390	142102	92993	64119	24996	37720	83684	278129	57532	548704	380856	383086	446912	246215	263545	50049
Cyp1b1	5	9	3	13	2	9	74	67	26	30	57	24	76	29	26	151	503	152	125	147	104	104	73	54	5
Cyp2a1	3414	3728	2928	4210	3675	4536	6088	5618	2782	2962	3886	2769	7240	2463	4736	11607	8572	9659	7234	6875	5526	8041	5661	5128	4610
Cyp2s1	7	9	2	10	10	10	17	35	10	7	14	5	18	11	26	48	31	23	22	8	16	17	20	11	12
Eef1a1	27538	29168	29912	35077	35487	37201	46218	41028	27900	29172	36700	27752	57854	20863	33847	80829	46573	58326	46610	39087	31866	44440	33148	34632	40371
Eml4_predicted	223	274	176	380	413	420	1011	1011	1109	917	1481	940	438	192	240	983	723	557	1045	960	890	881	696	759	426
Exoc3	156	167	138	213	214	237	605	567	264	207	342	247	299	125	213	490	320	323	677	570	532	519	458	406	232
Fdft1	1317	1301	904	1876	1776	2003	2886	2478	1201	941	1445	726	3432	1367	1824	4530	3525	3633	3583	3332	2862	3213	1432	1166	3194
Fmo1	917	1290	725	1376	1452	1486	1698	1366	712	919	801	965	1310	463	888	3267	2068	2102	813	669	1056	1448	1368	1106	1510
Gapdh	16146	14938	9805	17417	15949	19323	25756	23543	14512	13106	23007	15730	25490	8198	14751	41426	29139	29156	24347	26883	18840	24990	19772	18575	27459
Gfer	346	368	372	410	493	421	649	561	427	410	489	404	810	239	361	694	351	453	356	313	224	284	443	397	587
Ghr	4441	3915	3636	5328	3639	4729	6118	5321	3653	2995	4879	3558	5212	1987	2899	11233	6476	7054	5488	4461	4494	6357	3978	4264	4761
Glud1	13489	16905	9824	17570	15452	17845	16093	15283	11144	10953	13957	11241	20135	7421	11978	40392	23044	26249	16232	13217	11572	12860	10363	14453	19832
Hagh	1680	1539	1751	2096	2246	2167	2685	2441	1367	1816	1945	2003	3653	1298	1941	4576	2610	3116	2630	2566	2128	3215	1640	1652	2960
Hprt1	536	531	542	701	812	708	912	857	538	674	852	743	1320	460	624	1476	912	998	929	858	679	1089	733	715	1216
Hsd17b12	1529	1496	1176	1705	1238	1881	2680	2631	1778	1483	2580	2020	2392	785	1250	3484	1761	1531	4675	3083	2612	3188	2383	2576	2453
Ivns1abp_predicted	793	1163	824	1281	1076	1034	824	833	1119	848	1136	799	1220	427	691	2133	984	1692	1069	938	647	877	513	765	1190
Lasp1	304	315	228	370	318	419	749	596	206	281	362	206	777	320	496	1339	778	945	503	531	435	535	469	433	716
LOC308846	331	344	387	421	441	431	591	515	402	379	498	391	722	229	316	780	431	543	446	403	343	446	355	372	501
LOC368066	332	533	496	713	629	567	437	335	158	591	162	204	1599	455	328	1836	908	706	56	78	111	429	219	256	841
Mawbp	2129	2599	2530	3540	3777	3919	7175	6385	3614	3355	3886	3209	4362	1545	2807	7164	4437	4336	5315	4841	5806	7830	5725	4613	3538
Mug1	26108	25290	9304	26504	19245	33747	40158	44855	12751	9695	24712	15699	62947	30955	37426	204527	96656	133072	29079	17729	27922	31860	24122	37909	48027
Neu1	132	164	126	189	176	259	571	513	212	190	331	231	359	122	216	449	299	415	700	499	493	582	394	341	308
Nfe2l2	604	866	457	1434	1303	1374	3348	4406	2871	3061	3864	3846	1980	525	1179	2579	2205	1504	2869	2503	2629	3628	2818	2080	1638
Nqo1	250	405	58	421	109	412	4184	6682	1893	1283	1793	1247	934	471	1307	994	1718	677	4186	4744	4082	4319	5570	4677	493
Nrbp2	5	13	8	5	10	6	15	16	11	16	14	11	16	3	7	17	10	11	13	5	9	18	7	7	7
Nudt4	559	769	764	800	797	1027	561	422	722	731	784	716	807	340	675	1603	690	855	408	419	331	457	420	604	727
Pde2a	210	253	167	271	322	346	737	542	379	365	423	286	344	126	203	682	438	436	533	484	462	565	495	579	384
Perp_predicted	802	897	788	893	919	1057	1243	1220	829	784	1040	751	1272	436	621	2168	1340	1388	1541	1513	1031	1679	1079	1084	1143
Pgk1	2766	2238	2075	2807	2655	3146	3396	2960	2264	2042	3427	2865	5056	1515	2326	5767	3830	3458	2318	2456	1888	2916	2677	2526	4497
Pmm1	53	69	37	106	81	81	210	222	180	168	251	164	150	53	56	138	64	90	377	332	229	293	207	230	76
Ppia	13823	14207	15608	15374	16961	16228	19619	17023	14583	13751	16886	14746	28047	8488	12088	30913	16235	19895	16449	15480	12617	17213	13773	13194	17619
